"reference","reference href","cite-bracket","cite-bracket 2","mw-heading","mw-editsection-bracket","mw-editsection href","mw-editsection","mw-editsection-bracket 2","headerSort","headerSort 2","headerSort 3","headerSort 4","headerSort 5","unsortable","unsortable 2","fn","vcard","category","note","fn 2","mw-redirect 2","mw-redirect href 2","category 2","fn 3","vcard 4","mw-redirect 3","mw-redirect href 3","category 3","fn 4","mw-redirect 4","mw-redirect href 4","fn 5","vcard 8","mw-redirect 6","mw-redirect href 6","category 5","fn 6","vcard 9","category 6","reference 2","reference href 2","cite-bracket 3","cite-bracket 4","fn 7","vcard 11","mw-redirect 7","mw-redirect href 7","reference 3","reference href 3","fn 8","vcard 13","mw-redirect 8","mw-redirect href 8","category 8","fn 9","vcard 15","mw-redirect 9","mw-redirect href 9","fn 10","vcard 17","mw-redirect 10","mw-redirect href 10","fn 11","vcard 19","mw-redirect 11","mw-redirect href 11","fn 12","mw-redirect 12","mw-redirect href 12","fn 13","mw-redirect 13","mw-redirect href 13","fn 14","vcard 25","mw-redirect 15","mw-redirect href 15","category 14","fn 15","vcard 26","mw-redirect 16","mw-redirect href 16","category 15","fn 16","mw-redirect 18","mw-redirect href 18","fn 17","vcard 28","mw-redirect 19","mw-redirect href 19","fn 18","mw-redirect 20","mw-redirect href 20","category 18","fn 19","vcard 32","mw-redirect 21","mw-redirect href 21","fn 20","vcard 34","mw-redirect 22","mw-redirect href 22","fn 21","mw-redirect 23","mw-redirect href 23","category 21","fn 22","vcard 38","mw-redirect 24","mw-redirect href 24","category 22","fn 23","vcard 40","vcard 41","mw-redirect 25","mw-redirect href 25","category 23","fn 24","vcard 42","vcard 43","mw-redirect 26","mw-redirect href 26","category 24","fn 25","vcard 44","mw-redirect 28","mw-redirect href 28","category 25","fn 26","mw-redirect 29","mw-redirect href 29","category 26","fn 27","vcard 46","mw-redirect 30","mw-redirect href 30","fn 28","vcard 48","mw-redirect 31","mw-redirect href 31","fn 29","vcard 50","mw-redirect 32","mw-redirect href 32","category 29","fn 30","vcard 52","mw-redirect 33","mw-redirect href 33","category 30","fn 31","vcard 54","mw-redirect 35","mw-redirect href 35","fn 32","vcard 55","mw-redirect 36","mw-redirect href 36","fn 33","vcard 57","mw-redirect 38","mw-redirect href 38","fn 34","mw-redirect 39","mw-redirect href 39","category 34","fn 35","fn 36","category 36","fn 37","mw-redirect 41","mw-redirect href 41","category 37","fn 38","mw-redirect 43","mw-redirect href 43","category 38","mw-redirect 45","mw-redirect href 45","mw-redirect 47","mw-redirect href 47","mw-redirect 48","mw-redirect href 48"
"","","","","Collegiate chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=12","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914se-53","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Alpha Rho","1992","Active","Chapter was reactivated in 2009","Alpha Alpha Chi","Boone, NC","https://en.wikipedia.org/wiki/Boone,_NC","Active","Alpha Beta Beta","July 31, 1999","Durham, NC","https://en.wikipedia.org/wiki/Durham,_NC","Active","Alpha Beta Zeta","Elon, NC","https://en.wikipedia.org/wiki/Elon,_NC","Alpha Beta Lambda","1999","Wingate, NC","https://en.wikipedia.org/wiki/Wingate,_NC","Active","Alpha Beta Xi","1999","Active","53","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914se-53","[","]","Alpha Beta Psi","June 19, 2001","Rocky Mount, NC","https://en.wikipedia.org/wiki/Rocky_Mount,_NC","54","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-54","Alpha Epsilon","October 27, 1927","Cookeville, TN","https://en.wikipedia.org/wiki/Cookeville,_TN","Active","Alpha Xi Alpha","April 1, 1996","Newberry, SC","https://en.wikipedia.org/wiki/Newberry,_SC","Alpha Omicron","1935","Charlotte, NC","https://en.wikipedia.org/wiki/Charlotte,_NC","Alpha Tau Alpha","1998","Columbia, SC","https://en.wikipedia.org/wiki/Columbia,_SC","Beta Beta Zeta","Greenwood, SC","https://en.wikipedia.org/wiki/Greenwood,_SC","Beta Beta Iota","Hickory, NC","https://en.wikipedia.org/wiki/Hickory,_NC","Beta Eta","1947","Myrtle Beach, SC","https://en.wikipedia.org/wiki/Myrtle_Beach,_SC","Active","Beta Xi","1948","Knoxville, TN","https://en.wikipedia.org/wiki/Knoxville,_TN","Active","Gamma Alpha Gamma","Raleigh, NC","https://en.wikipedia.org/wiki/Raleigh,_NC","Gamma Gamma","1949","Spartanburg, SC","https://en.wikipedia.org/wiki/Spartanburg,_SC","Gamma Lambda Gamma","Durham, NC","https://en.wikipedia.org/wiki/Durham,_NC","Active","Gamma Rho","1961","Columbia, SC","https://en.wikipedia.org/wiki/Columbia,_SC","Delta Alpha","April 24, 1932","Elizabeth City, NC","https://en.wikipedia.org/wiki/Elizabeth_City,_NC","Zeta Gamma","Winston-Salem, NC","https://en.wikipedia.org/wiki/Winston-Salem,_NC","Active","Eta","1919","Denmark, SC","https://en.wikipedia.org/wiki/Denmark,_SC","Active","Eta Alpha","1937","2007","Greensboro, NC","https://en.wikipedia.org/wiki/Greensboro,_NC","Active","Iota","1919","1978","Orangeburg, SC","https://en.wikipedia.org/wiki/Orangeburg,_SC","Active","Iota Zeta","December 1977","Raleigh, NC","https://en.wikipedia.org/wiki/Raleigh,_NC","Active","Kappa Iota","Sumter, SC","https://en.wikipedia.org/wiki/Sumter,_SC","Active","Kappa Chi","1979","Columbia, SC","https://en.wikipedia.org/wiki/Columbia,_SC","Lambda Psi","1980","Knoxville, TN","https://en.wikipedia.org/wiki/Knoxville,_TN","Nu Theta","2001","Charleston, SC","https://en.wikipedia.org/wiki/Charleston,_SC","Inactive","Nu Iota","December 7, 1980","Clinton, SC","https://en.wikipedia.org/wiki/Clinton,_SC","Active","Nu Chi","1987","Pembroke, NC","https://en.wikipedia.org/wiki/Pembroke,_NC","Xi Gamma","1982","Rock Hill, SC","https://en.wikipedia.org/wiki/Rock_Hill,_SC","Xi Zeta","1982","Chapel Hill, NC","https://en.wikipedia.org/wiki/Chapel_Hill,_NC","Xi Nu","Raleigh, NC","https://en.wikipedia.org/wiki/Raleigh,_NC","Active","Xi Upsilon","Omicron","Active","Omicron Lambda","Greenville, NC","https://en.wikipedia.org/wiki/Greenville,_NC","Active","Pi","Chattanooga, TN","https://en.wikipedia.org/wiki/Chattanooga,_TN","Active","Orangeburg, SC","https://en.wikipedia.org/wiki/Orangeburg,_SC","Clemson, SC","https://en.wikipedia.org/wiki/Clemson,_SC","Fayetteville, NC","https://en.wikipedia.org/wiki/Fayetteville,_NC"
"","","","","Alumni chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=13","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914se-53","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Alpha Alpha Sigma","?","Active","2013 Philadelphia, PA Conclave ""International Alumni Chapter of the Year""","Alpha Lambda Sigma","Rocky Mount, NC","https://en.wikipedia.org/wiki/Rocky_Mount,_NC","Active","Alpha Upsilon Sigma","?","Greenville, SC","https://en.wikipedia.org/wiki/Greenville,_SC","Active","Alpha Psi Sigma","Elizabeth City, NC","https://en.wikipedia.org/wiki/Elizabeth_City,_NC","Beta Theta Sigma","?","Asheville, NC","https://en.wikipedia.org/wiki/Asheville,_NC","Active","Beta Kappa Sigma","June 21, 1948","Active","53","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914se-53","[","]","Beta Mu Sigma","?","Darlington, SC","https://en.wikipedia.org/wiki/Darlington,_SC","53","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914se-53","Beta Rho Sigma","1950","Farmville, NC","https://en.wikipedia.org/wiki/Farmville,_NC","Active","Beta Chi Sigma","1950","Charleston, SC","https://en.wikipedia.org/wiki/Charleston,_SC","Gamma Beta Sigma","?","Charlotte, NC","https://en.wikipedia.org/wiki/Charlotte,_NC","Gamma Upsilon Sigma","?","Columbia, SC","https://en.wikipedia.org/wiki/Columbia,_SC","Delta Sigma","Greensboro, NC","https://en.wikipedia.org/wiki/Greensboro,_NC","Delta Zeta Sigma","Lumberton, NC","https://en.wikipedia.org/wiki/Lumberton,_NC","Delta Kappa Sigma","March 24, 1946","Winston-Salem, NC","https://en.wikipedia.org/wiki/Winston-Salem,_NC","Active","Delta Nu Sigma","1962","Durham, NC","https://en.wikipedia.org/wiki/Durham,_NC","Active","Epsilon Xi Sigma","Sumter, SC","https://en.wikipedia.org/wiki/Sumter,_SC","Zeta Beta Sigma","1938–1954","Wilmington, NC","https://en.wikipedia.org/wiki/Wilmington,_NC","Zeta Theta Sigma","Chattanooga, TN","https://en.wikipedia.org/wiki/Chattanooga,_TN","Active","Eta Sigma","?","Fayetteville, NC","https://en.wikipedia.org/wiki/Fayetteville,_NC","Eta Theta Sigma","?","Rock Hill, SC","https://en.wikipedia.org/wiki/Rock_Hill,_SC","Eta Iota Sigma","Raleigh, NC","https://en.wikipedia.org/wiki/Raleigh,_NC","Active","Eta Omicron Sigma","?","Jacksonville, NC","https://en.wikipedia.org/wiki/Jacksonville,_NC","Active","Theta Kappa Sigma","?","1972","Georgetown, SC","https://en.wikipedia.org/wiki/Georgetown,_SC","Active","Iota Delta Sigma","?","?","Orangeburg, SC","https://en.wikipedia.org/wiki/Orangeburg,_SC","Active","Iota Theta Sigma","December 31, 1986","Halifax, NC","https://en.wikipedia.org/wiki/Halifax,_NC","Active","Kappa Iota Sigma","Concord, NC","https://en.wikipedia.org/wiki/Concord,_NC","Active","Kappa Phi Sigma","?","Dorchester County, SC","https://en.wikipedia.org/wiki/Dorchester_County,_SC","Nu Omicron Sigma","?","Beaufort, SC","https://en.wikipedia.org/wiki/Beaufort,_SC","Xi Alpha Sigma","?","Berkeley County, SC","https://en.wikipedia.org/wiki/Berkeley_County,_SC","Active","Omicron Gamma Sigma","2009","West Columbia, SC","https://en.wikipedia.org/wiki/West_Columbia,_SC","Active","Pi Sigma","?","Decatur, TN","https://en.wikipedia.org/wiki/Decatur,_TN","Phi Sigma","1931","Greenville, NC","https://en.wikipedia.org/wiki/Greenville,_NC","Upsilon Beta Sigma","?","Kingstree, SC","https://en.wikipedia.org/wiki/Kingstree,_SC","","Knoxville, TN","https://en.wikipedia.org/wiki/Knoxville,_TN","","","","","","Salisbury, NC","https://en.wikipedia.org/wiki/Salisbury,_NC","","","","","","","","","","",""
"","","","","Southern","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=14","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Collegiate chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=15","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914alabama-80","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Alpha Lambda","November 21, 1992","Active","Rolling Stone","Alpha Beta","Troy, AL","https://en.wikipedia.org/wiki/Troy,_AL","Active","Alpha Beta Gamma","November 21, 1998","Jackson, MS","https://en.wikipedia.org/wiki/Jackson,_MS","Active","Alpha Beta Theta","Tampa, FL","https://en.wikipedia.org/wiki/Tampa,_FL","Alpha Beta Tau","2000","Kennesaw, GA","https://en.wikipedia.org/wiki/Kennesaw,_GA","Inactive","Alpha Beta Iota","1998","Active","81","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-floridasigmas-81","[","]","Alpha Zeta","1946","Kennesaw, GA","https://en.wikipedia.org/wiki/Kennesaw,_GA","82","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-82","Alpha Eta","December 6, 1935","Boca Raton, FL","https://en.wikipedia.org/wiki/Boca_Raton,_FL","Active","Alpha Pi","1942","Lorman, MS","https://en.wikipedia.org/wiki/Lorman,_MS","Alpha Sigma Alpha","2007","Tallahassee, FL","https://en.wikipedia.org/wiki/Tallahassee,_FL","Alpha Omicron Alpha","1996","Fort Valley, GA","https://en.wikipedia.org/wiki/Fort_Valley,_GA","Alpha Psi Alpha","Huntsville, AL","https://en.wikipedia.org/wiki/Huntsville,_AL","Beta Beta Alpha","Columbus, MS","https://en.wikipedia.org/wiki/Columbus,_MS","Beta Beta Beta","November 16, 2001","Montgomery, AL","https://en.wikipedia.org/wiki/Montgomery,_AL","Active","Beta Beta Gamma","November 11, 2001","Florence, AL","https://en.wikipedia.org/wiki/Florence,_AL","Active","Beta Beta Kappa","Morrow, GA","https://en.wikipedia.org/wiki/Morrow,_GA","Beta Beta Lambda","2004","Augusta, GA","https://en.wikipedia.org/wiki/Augusta,_GA","Beta Beta Tau","Jacksonville, FL","https://en.wikipedia.org/wiki/Jacksonville,_FL","Active","Beta Beta Phi","April 8, 2007","LaGrange, GA","https://en.wikipedia.org/wiki/LaGrange,_GA","Beta Kappa","1948","Pensacola, FL","https://en.wikipedia.org/wiki/Pensacola,_FL","Beta Pi","Tuskegee, AL","https://en.wikipedia.org/wiki/Tuskegee,_AL","Active","Beta Rho","1948","Miami Gardens, FL","https://en.wikipedia.org/wiki/Miami_Gardens,_FL","Active","Beta Psi","1949","2004","Tougaloo, MS","https://en.wikipedia.org/wiki/Tougaloo,_MS","Active","Gamma Alpha Delta","2006","1949","Albany, GA","https://en.wikipedia.org/wiki/Albany,_GA","Active","Gamma Alpha Chi","2012","Fort Lauderdale, FL","https://en.wikipedia.org/wiki/Fort_Lauderdale,_FL","Active","Gamma Beta","Fort Myers, FL","https://en.wikipedia.org/wiki/Fort_Myers,_FL","Active","Gamma Beta Beta","2011","Montgomery, AL","https://en.wikipedia.org/wiki/Montgomery,_AL","Gamma Beta Gamma","2013","Selma, AL","https://en.wikipedia.org/wiki/Selma,_AL","Gamma Epsilon","1949","Atlanta, GA","https://en.wikipedia.org/wiki/Atlanta,_GA","Active","Gamma Zeta","October 31, 1949","Normal, AL","https://en.wikipedia.org/wiki/Normal,_AL","Active","Gamma Iota Gamma","April 13, 2014","Savannah, GA","https://en.wikipedia.org/wiki/Savannah,_GA","Gamma Pi","1960","Macon, GA","https://en.wikipedia.org/wiki/Macon,_GA","Gamma Rho Delta","September 14, 2018","Jacksonville, FL","https://en.wikipedia.org/wiki/Jacksonville,_FL","Gamma Rho Zeta","Macon, GA","https://en.wikipedia.org/wiki/Macon,_GA","Active","Gamma Rho Mu","Gamma Chi","Active","Gamma Psi","Montgomery, AL","https://en.wikipedia.org/wiki/Montgomery,_AL","Active","Delta Pi","Tuscaloosa, AL","https://en.wikipedia.org/wiki/Tuscaloosa,_AL","Inactive","Holly Springs, MS","https://en.wikipedia.org/wiki/Holly_Springs,_MS","Selma, AL","https://en.wikipedia.org/wiki/Selma,_AL","Itta Bena, MS","https://en.wikipedia.org/wiki/Itta_Bena,_MS"
"","","","","Alumni chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=16","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"101","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-101","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Alpha Theta Sigma","February 7, 1994","Active","Represents Escambia & Santa Rosa County","Alpha Eta Sigma","Pensacola, FL","https://en.wikipedia.org/wiki/Pensacola,_FL","Active","Alpha Iota Sigma","","Montgomery, AL","https://en.wikipedia.org/wiki/Montgomery,_AL","Active","Alpha Phi Sigma","Lorman, MS","https://en.wikipedia.org/wiki/Lorman,_MS","Alpha Chi Sigma","1950","Columbus, GA","https://en.wikipedia.org/wiki/Columbus,_GA","Active","Alpha Omega Sigma","","Active","80","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914alabama-80","[","]","Beta Delta Sigma","","Dothan, AL","https://en.wikipedia.org/wiki/Dothan,_AL","80","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-pbs1914alabama-80","Beta Epsilon Sigma","","Hinesville, GA","https://en.wikipedia.org/wiki/Hinesville,_GA","Active","Beta Zeta Sigma","?","Fort Valley, GA","https://en.wikipedia.org/wiki/Fort_Valley,_GA","Beta Lambda Sigma","[1949]","Huntsville, AL","https://en.wikipedia.org/wiki/Huntsville,_AL","Beta Nu Sigma","","Daytona Beach, FL","https://en.wikipedia.org/wiki/Daytona_Beach,_FL","Beta Pi Sigma","Tallahassee, FL","https://en.wikipedia.org/wiki/Tallahassee,_FL","Beta Sigma Sigma","Albany, GA","https://en.wikipedia.org/wiki/Albany,_GA","Gamma Sigma","1918","Tuscaloosa, AL","https://en.wikipedia.org/wiki/Tuscaloosa,_AL","Active","Gamma Gamma Sigma","?","Mobile, AL","https://en.wikipedia.org/wiki/Mobile,_AL","Active","Gamma Delta Sigma","Tuskegee, AL","https://en.wikipedia.org/wiki/Tuskegee,_AL","Gamma Epsilon Sigma","","Ft. Lauderdale, FL","https://en.wikipedia.org/wiki/Ft._Lauderdale,_FL","Gamma Zeta Sigma","Orlando, FL","https://en.wikipedia.org/wiki/Orlando,_FL","Active","Gamma Eta Sigma","1946","Meridian, MS","https://en.wikipedia.org/wiki/Meridian,_MS","Gamma Mu Sigma","April 5, 1955","Riviera Beach, FL","https://en.wikipedia.org/wiki/Riviera_Beach,_FL","Gamma Xi Sigma","Tampa, FL","https://en.wikipedia.org/wiki/Tampa,_FL","","Gamma Pi Sigma","January 8, 1956","Biloxi, MS","https://en.wikipedia.org/wiki/Biloxi,_MS","Active","Delta Alpha Sigma","September 29, 1958","1951","Greenwood, MS","https://en.wikipedia.org/wiki/Greenwood,_MS","Active","Delta Epsilon Sigma","May 19, 1978","","Macon, GA","https://en.wikipedia.org/wiki/Macon,_GA","Active","Delta Lambda Sigma","?","Hattiesburg, MS","https://en.wikipedia.org/wiki/Hattiesburg,_MS","Active","Delta Mu Sigma","Ft. Pierce, FL","https://en.wikipedia.org/wiki/Ft._Pierce,_FL","Active","Delta Omicron Sigma","?","Athens, GA","https://en.wikipedia.org/wiki/Athens,_GA","Delta Tau Sigma","1965","St. Petersburg, FL","https://en.wikipedia.org/wiki/St._Petersburg,_FL","Delta Upsilon Sigma","1960","Holly Springs, MS","https://en.wikipedia.org/wiki/Holly_Springs,_MS","Active","Delta Phi Sigma","?","Starkville, MS","https://en.wikipedia.org/wiki/Starkville,_MS","","Epsilon Gamma Sigma","","Itta Bena, MS","https://en.wikipedia.org/wiki/Itta_Bena,_MS","Epsilon Theta Sigma","","Augusta, GA","https://en.wikipedia.org/wiki/Augusta,_GA","Epsilon Omicron Sigma","?","Selma, AL","https://en.wikipedia.org/wiki/Selma,_AL","Zeta Iota Sigma","Gainesville, FL","https://en.wikipedia.org/wiki/Gainesville,_FL","Active","Zeta Mu Sigma","Zeta Upsilon Sigma","Inactive","Zeta Phi Sigma","Delray Beach, FL","https://en.wikipedia.org/wiki/Delray_Beach,_FL","Active","Eta Delta Sigma","Anniston, AL","https://en.wikipedia.org/wiki/Anniston,_AL","Active","Jackson, AL","https://en.wikipedia.org/wiki/Jackson,_AL","Greenville, AL","https://en.wikipedia.org/wiki/Greenville,_AL","Muscle Shoals, AL","https://en.wikipedia.org/wiki/Muscle_Shoals,_AL"
"","","","","Southwestern","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=17","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Collegiate chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=18","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"111","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-SouthwestRegion-111","[","]","","","","","","Name","Charter date and range","Institution","Location","Status","Notes","Ref.","Alpha Alpha Delta","April 4, 1990","Active","Membership drawn from ,  and/or","Alpha Beta Delta","Omaha, NE","https://en.wikipedia.org/wiki/Omaha,_NE","Active","Alpha Beta Eta","March 3, 1999","Memphis, TN","https://en.wikipedia.org/wiki/Memphis,_TN","Active","Alpha Beta Nu","Little Rock, AR","https://en.wikipedia.org/wiki/Little_Rock,_AR","Alpha Gamma","October 10, 1927","St. Joseph, MO","https://en.wikipedia.org/wiki/St._Joseph,_MO","Active","Alpha Gamma Alpha","1994","Active","112","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-Alpha_Beta_Delta-112","[","]","Alpha Rho","May 20, 1982","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","111","https://en.wikipedia.org/wiki/List_of_Phi_Beta_Sigma_chapters#cite_note-SouthwestRegion-111","Beta Beta Rho","Omaha City-wide Chapters","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Inactive","Beta Epsilon","May 6, 1947","Clarksville, TN","https://en.wikipedia.org/wiki/Clarksville,_TN","Beta Zeta","April 17, 1947","Russellville, AR","https://en.wikipedia.org/wiki/Russellville,_AR","","August 21, 1947","Langston, OK","https://en.wikipedia.org/wiki/Langston,_OK","Beta Chi","Memphis, TN","https://en.wikipedia.org/wiki/Memphis,_TN","Gamma Alpha Eta","Pine Bluff, AR","https://en.wikipedia.org/wiki/Pine_Bluff,_AR","Gamma Alpha Mu","February 28, 2010","Jefferson City, MO","https://en.wikipedia.org/wiki/Jefferson_City,_MO","Active","Gamma Eta","May 4, 1964","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Active","Gamma Gamma Gamma","McKenzie, TN","https://en.wikipedia.org/wiki/McKenzie,_TN","Gamma Theta Gamma","January 28, 2015","St. Louis, MO","https://en.wikipedia.org/wiki/St._Louis,_MO","Gamma Nu","Maryville, MO","https://en.wikipedia.org/wiki/Maryville,_MO","Inactive","Delta","April 9, 1917","Wichita, KS","https://en.wikipedia.org/wiki/Wichita,_KS","Delta Epsilon","1966","Manhattan, KS","https://en.wikipedia.org/wiki/Manhattan,_KS","Delta Nu","Jackson, TN","https://en.wikipedia.org/wiki/Jackson,_TN","Active","Epsilon Lambda","1972","Memphis, TN","https://en.wikipedia.org/wiki/Memphis,_TN","Active","Zeta Alpha","May 1, 1931","","Warrensburg, MO","https://en.wikipedia.org/wiki/Warrensburg,_MO","Active","Zeta Omicron","1979","","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Active","Eta Gamma","1973","Lawrence, KS","https://en.wikipedia.org/wiki/Lawrence,_KS","Active","Theta","Columbia, MO","https://en.wikipedia.org/wiki/Columbia,_MO","Defunct","Theta Alpha","October 3, 1975","Sedalia, MO","https://en.wikipedia.org/wiki/Sedalia,_MO","Theta Nu","1975","Arkadelphia, AR","https://en.wikipedia.org/wiki/Arkadelphia,_AR","Iota Kappa","","Magnolia, AR","https://en.wikipedia.org/wiki/Magnolia,_AR","Inactive","Iota Mu","1978","St. Louis, MO","https://en.wikipedia.org/wiki/St._Louis,_MO","Active","Iota Pi","1980","Murfreesboro, TN","https://en.wikipedia.org/wiki/Murfreesboro,_TN","Kappa","1920","Conway, AR","https://en.wikipedia.org/wiki/Conway,_AR","Kappa Omicron","1979","Nashville, TN","https://en.wikipedia.org/wiki/Nashville,_TN","Kappa Upsilon","Martin, TN","https://en.wikipedia.org/wiki/Martin,_TN","Active","Lambda Alpha","Lambda Zeta","Active","Lambda Eta","Fayetteville, AR","https://en.wikipedia.org/wiki/Fayetteville,_AR","Active","Lambda Pi","Kansas City, MO","https://en.wikipedia.org/wiki/Kansas_City,_MO","Active","Monticello, AR","https://en.wikipedia.org/wiki/Monticello,_AR","Jonesboro, AR","https://en.wikipedia.org/wiki/Jonesboro,_AR","Edmond, OK","https://en.wikipedia.org/wiki/Edmond,_OK"
"","","","","Alumni chapters","[","https://en.wikipedia.org/w/index.php?title=List_of_Phi_Beta_Sigma_chapters&action=edit&section=19","edit","]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
